DÍA;Ubic;Horario;Latitude;Longitude
VIERNES;PLAZA PALOMARES, ENTRE HERREROS, PESCADORES Y MERCADERES;8:00 A 19:00 HORAS;19,511668676;-99,203558590
VIERNES;ALFREDO V. BONFIL / JESÚS LECUONA Y CONSTITUCIÓN;08:00 A 19:00 HORAS;19,281398025;-99,203041956
LUNES;TOPILEJO ENTRE TETLA Y ALICAMA;07:00 A 17:00 HORAS;19,422946500;-99,203090945
JUEVES;JACARANDAS Y ANDADOR DE JACARANDAS;8:00 A 19:00 HORAS;19,507485141;-99,202971714
SÁBADO;GALEANA, ENTRE  CANTEMOC Y CAMINO A NEXTENGO;8:00 A 19:00 HORAS;19,478457690;-99,202503026
JUEVES;ROQUE VELASCO CERON, INT UNIDAD SANTA FE;8:00 A 17:00 HORAS;19,387129488;-99,201882846
DOMINGO;MARIANO ESCOBEDO ESQ. PEDRO MARÍA ANAYA;08:00 A 19:00 HORAS;19,225139712;-99,201077747
VIERNES;RIO BECERRA PROLONGACION SAN ANTONIO Y ALTA TENSION;8:00 A 17:00 HORAS;19,380289141;-99,201069140
DOMINGO;NORTE 4 ENTRE LAGO CHAIREL Y RIO SAN JOAQUIN;07:00 A 17:00 HORAS;19,445612707;-99,201006843
SÁBADO;MARIANO ESCOBEDO ESQ. PEDRO MARÍA ANAYA;08:00 A 19:00 HORAS;19,225233732;-99,200719563
SÁBADO;ALBAÑILES Y URANIO ENTRE HIDROGENO Y ARGON, CINCEL Y RENACIMIENTO.;8:00 A 19:00 HORAS;19,509934343;-99,200660560
MIÉRCOLES;ROSA NEGRA ENTRE ROSA DE CASTILLA Y GIOTTO;8:00 A 17:00 HORAS;19,372344560;-99,200432585
JUEVES;LEON FELIPE, PERIFERICO Y FRESNOS;8:00 A 17:00 HORAS;19,350468087;-99,200092564
DOMINGO;PINO SUÁREZ / FELIPE ÁNGELES Y PIPILA;08:00 A 19:00 HORAS;19,282488797;-99,199962923
SÁBADO;ARISTOTELES ENTRE LUIS G. URBINA Y EMILIO CASTELAR;07:00 A 17:00 HORAS;19,429636186;-99,200104040
DOMINGO;NORTE 4 ENTRE LAGO CHAIRELY PONIENTE 115;07:00 A 17:00 HORAS;19,445548136;-99,199738081
DOMINGO;ALBAÑILES, ESQ. ARGON;8:00 A 19:00 HORAS;19,510081516;-99,199636872
MARTES;"INTERIOR UNIDAD H. ""MANUEL RIVERA ANAYA"" CROC 1";8:00 A 19:00 HORAS;19,516324658;-99,199293988
VIERNES;"INTERIOR UNIDAD H. ""MANUEL RIVERA ANAYA"" CROC 1";8:00 A 19:00 HORAS;19,516324658;-99,199293988
VIERNES;MIGUEL DE CERVANTES SAAVEDRA ESQ. CDA. MIGUEL DE CERVANTES SAAVEDRA;07:00 A 17:00 HORAS;19,440909349;-99,198988194
VIERNES;CHAMULAS, ENTRE L. DE TEJADA Y RAFAEL BUELNA;8:00 A 19:00 HORAS;19,488146589;-99,198609778
MARTES;NORTE 4 ENTRE PONIENTE 115-A Y LAGO GINEBRA;07:00 A 17:00 HORAS;19,445478015;-99,198248576
LUNES;PONIENTE 85 Y AV. OBSERVATORIO;8:00 A 17:00 HORAS;19,398887593;-99,197935614
MARTES;TIZIANO ENTRE FRANZ HALLZ Y VAN OSTADE;8:00 A 17:00 HORAS;19,373635893;-99,197407561
DOMINGO;GIOTTO ENTRE TIZIANO JUAN COUSIN;8:00 A 17:00 HORAS;19,374065221;-99,197191519
MARTES;CALLE C ENTRE CALLE 1 Y CALLE 4;8:00 A 17:00 HORAS;19,386617225;-99,196913056
LUNES;JOSEFA ORTIZ DE DOMINGUEZ / JESÚS LECUONA Y PIPILA;08:00 A 19:00 HORAS;19,284142804;-99,196726722
DOMINGO;ADRIAN BROWER, ENTRE RUIZ DAEL Y GIOTTO;8:00 A 17:00 HORAS;19,374016153;-99,196635075
JUEVES;GRAL. JUAN VILLEGAS ENTRE GRAL. SOSTENES ROCHA Y BARRANQUILLA;07:00 A 17:00 HORAS;19,406788664;-99,196419420
DOMINGO;RIO BECERRA ENTRE PERIFERICO Y AV. ALTA TENSION;8:00 A 17:00 HORAS;19,381635911;-99,196257622
MARTES;GUIDO RENI Y FRANZ HALLZ;8:00 A 17:00 HORAS;19,374115668;-99,196214572
DOMINGO;DR. ROSEMBLUETH ENT. AV. LOMAS DE PLATEROS Y P. MIRANDA;8:00 A 17:00 HORAS;19,365699852;-99,195408926
MARTES;DR. ROSEMBLUETH ENTRE FRANCISCO P. MIRANDA Y AV. LOMAS DE PLATEROS;8:00 A 17:00 HORAS;19,365759299;-99,195390706
SÁBADO;DR. ROSEMBLUETH Y AVENIDA LOMAS DE PLATEROS;8:00 A 17:00 HORAS;19,367076951;-99,195256015
MARTES;DR. ROSEMBLUETH Y FRANCISCO P. MIRANDA;8:00 A 17:00 HORAS;19,366539858;-99,194892542
VIERNES;AGUILA ENTRE FAISAN Y CISNE;8:00 A 17:00 HORAS;19,395202282;-99,194270035
LUNES;JESUS A. FLORES ENTRE M. GONZALEZ CALDERON Y GENERAL CHILARDI;07:00 A 17:00 HORAS;19,405972313;-99,194079226
LUNES;CENTEOTL, ENTRE ACAMAPICHTLI Y SAN MATEO;8:00 A 19:00 HORAS;19,485841537;-99,194055178
MARTES;VESUBIO ENTRE CONDOR Y CARPATOS;8:00 A 17:00 HORAS;19,360185586;-99,193334530
JUEVES;ALPES ENTRE ANDES Y PERIFERICO;8:00 A 17:00 HORAS;19,362137875;-99,192588484
VIERNES;ESTIO ENTRE PRIMAVERA Y JUAN TINOCO - INACTIVO;8:00 A 17:00 HORAS;19,363771401;-99,192501023
DOMINGO;FELIPE ANGELES, ZENZONTLE Y CANARIO;8:00 A 17:00 HORAS;19,394048342;-99,192463021
LUNES;LAGO WINNIPEG ENTRE LAGO ERIE Y LAGO ONTARIO;07:00 A 17:00 HORAS;19,455041481;-99,192174883
LUNES;LAGO WINNIPEG ENTRE LAGO ERIE Y LAGO SUPERIOR;07:00 A 17:00 HORAS;19,456354093;-99,191787043
JUEVES;JOSE MARIA TERESA REVOLUCION Y TLACOPAC;8:00 A 17:00 HORAS;19,353310810;-99,191190473
DOMINGO;CAMINO A NEXTENGO, ENTRE CDA. DEL AGUILA Y AV. FF. CC. NACIONALES;8:00 A 17:00 HORAS;19,473347197;-99,191076389
SÁBADO;CASTRO BRITO / CAMELIA Y MIRAMONTES;08:00 A 19:00 HORAS;19,271527590;-99,190620025
SÁBADO;BENITO JUÁREZ ESQ. VERACRUZ;08:00 A 19:00 HORAS;19,284202673;-99,190200311
VIERNES;CALLE BANQUETA EJE 10 SUR, ENTRE AV, COPILCO Y AV UNIVERSIDAD;8:00 A 19:00 HORAS;19,337617111;-99,190243043
DOMINGO;LEONARDO DA VINCI ENTRE SAN ANTONIO Y ANAREO;6:00 A 16:00 HORAS;19,384278744;-99,190053755
MIÉRCOLES;LEONARDO DA VINCI Y SAN ANTONIO;6:00 A 16:00 HORAS;19,384754439;-99,189906410
MIÉRCOLES;ISIDRO FABELA ESQ. CANTERA;08:00 A 19:00 HORAS;19,271771230;-99,189759330
VIERNES;ISIDRO FABELA ESQ. CANTERA;08:00 A 19:00 HORAS;19,271696778;-99,189569196
MARTES;MIGUEL HIDALGO / BENITO  JUÁREZ Y CORREGIDORA;08:00 A 19:00 HORAS;19,283565616;-99,188906257
DOMINGO;21 DE AGOSTO ENTRE VICTORIA Y CUAUHTEMOC;8:00 A 19:00 HORAS;19,339529195;-99,187833110
MIÉRCOLES;PINITOS, ENTRE AV. AZCAPOTZALCO Y CENTENARIO;8:00 A 19:00 HORAS;19,471804304;-99,187854004
SÁBADO;SAGREDO Y JOSE MARIA VELAZCO;6:00 A 16:00 HORAS;19,364417516;-99,187702674
LUNES;ABUNDIO MARTINEZ ENTRE J. ROSAS Y PLAZA VALVERDE;8:00 A 17:00 HORAS;19,355928925;-99,187436793
SÁBADO;CERRO DE LA SILLA / CERRO DE LAS BATALLAS Y CERRO DE LA ESTRELLA;08:00 A 19:00 HORAS;19,259611926;-99,186816977
VIERNES;CDA 10 DE MAYO ENTRE 10 DE MAYO Y 11 DE ABRIL;6:00 A 16:00 HORAS;19,395472803;-99,186599481
MARTES;SAGREDO ENTRE ANDRES DE LA CONCHA Y MERCADERES;6:00 A 16:00 HORAS;19,366987180;-99,186470106
SÁBADO;TEPETL ESQ. CANTERA;08:00 A 19:00 HORAS;19,277845197;-99,186120621
DOMINGO;ESTACIONAMIENTO DE LA U. H. SAN PABLO XALPA;8:00 A 19:00 HORAS;19,505913292;-99,185740353
MARTES;ANDÉN DEL MERCADO AZCAPOTZALCO, ENTRE NUEVA JERUSALÉN;8:00 A 17:00 HORAS;19,483426102;-99,185497916
DOMINGO;INDEPENDENCIA, ENTRE LIBERTAD Y BOCANEGRA;8:00 A 19:00 HORAS;19,460498119;-99,184362045
LUNES;VOLCAN FERNANDINA /CDA. DE CALACOAYA Y VOLCAN JADE;08:00 A 19:00 HORAS;19,271267767;-99,183913793
MIÉRCOLES;CERRO DE LA TROJE / TLALPUENTE Y SIERRA DE SAN JUAN;08:00 A 19:00 HORAS;19,255691868;-99,183780808
JUEVES;CHANTEPEC Y CEHUANTEPEC;08:00 A 19:00 HORAS;19,274434230;-99,183248194
LUNES;PLATEROS ENTRE DAMAS Y CAPUCHINAS;6:00 A 16:00 HORAS;19,367192234;-99,183178692
LUNES;CALLE COPILCO ENTRE UNIVERSIDAD Y ODONTOLOGIA;8:00 A 19:00 HORAS;19,336885113;-99,182530034
VIERNES;COPILCO ENTRE UNIVERSIDAD Y ODONTOLOGIA;8:00 A 19:00 HORAS;19,336759610;-99,182323205
VIERNES;DEL PARQUE / INSURGENTES Y AV. SAN FERNANDO;08:00 A 19:00 HORAS;19,295092324;-99,182142619
MARTES;HOLBEIN ENTRE CORTEGIO Y CORDERO;6:00 A 16:00 HORAS;19,380584986;-99,182146127
JUEVES;NUBIA Y SAN LUCAS, DESDE HERALDO, HASTA PALESTINA;8:00 A 19:00 HORAS;19,471333545;-99,182111608
LUNES;BOSTON ENTRE RODIN Y DENVER;6:00 A 16:00 HORAS;19,379496934;-99,181748191
JUEVES;IRAPUATO, ENTRE CLAVERIA Y EGIPTO;8:00 A 19:00 HORAS;19,464186667;-99,181388367
MIÉRCOLES;VOLCAN ALEGRE / VOLCAN FERNANDINA Y VOLCAN FUJIYAMA;08:00 A 19:00 HORAS;19,270360448;-99,180981562
MARTES;2 DE ABRIL Y HERMES;6:00 A 16:00 HORAS;19,363960570;-99,180664973
DOMINGO;VOLCAN ALEGRE / VOLCAN FERNANDINA Y VOLCAN FUJIYAMA;08:00 A 19:00 HORAS;19,271037221;-99,180470498
LUNES;CEFIRO ENTRE PANAMERICANA Y DUMA;8:00 A 19:00 HORAS;19,305277864;-99,180333354
MARTES;CEFIRO ENTRE PANAMERICANA Y DUMA;8:00 A 19:00 HORAS;19,305277864;-99,180333354
DOMINGO;5 DE MAYO / AV. MÉXICO AJUSCO Y BENITO JUÁREZ;08:00 A 19:00 HORAS;19,232933406;-99,180240068
MARTES;JOSE MARTI ENTRE SALVADOR ALVARADO Y JOSE MARTI;07:00 A 17:00 HORAS;19,402983062;-99,180029975
VIERNES;CALLE THIERS ENTRE LEIBINITZ Y EUKEN;07:00 A 17:00 HORAS;19,434211154;-99,179934426
MIÉRCOLES;RIVERO / 5 DE MAYO Y JUÁREZ;08:00 A 19:00 HORAS;19,233956528;-99,179692672
SÁBADO;ZARAGOZA Y CALLE NUEVA / AV. INSURGENTES E INDEPENDENCIA;08:00 A 19:00 HORAS;19,293257409;-99,179647931
DOMINGO;ZARAGOZA Y CALLE NUEVA / AV. INSURGENTES Y AV. SAN FERNANDO;08:00 A 19:00 HORAS;19,295194494;-99,179538588
DOMINGO;FILADELFIA ENTRE PENSYNVANIA Y CDA DE ARIZONA;6:00 A 16:00 HORAS;19,394286271;-99,179630029
SÁBADO;MOPANES / APACHES Y CUAHUITECOS;08:00 A 19:00 HORAS;19,273546755;-99,179335034
LUNES;MAR BLANCO ENTRE MAR ADRIATICO Y MAR ROJO;07:00 A 17:00 HORAS;19,452489150;-99,179519271
JUEVES;LA FAMA / AYUNTAMIENTO Y CALLE DEL TRABAJO;08:00 A 19:00 HORAS;19,289916223;-99,179169540
JUEVES;CAROLINA ENTRE HOLBEIN Y AVILA CAMACHO;6:00 A 16:00 HORAS;19,382200724;-99,178811691
JUEVES;CAROLINA ENTRE HOLBEIN Y AVILA CAMACHO;6:00 A 16:00 HORAS;19,382037438;-99,178701616
MARTES;LA FAMA / AYUNTAMIENTO Y CALLE DEL TRABAJO;08:00 A 19:00 HORAS;19,289674139;-99,178588123
MARTES;RECREO ENTRE JOSE MARIA RICO Y TIGRE;6:00 A 16:00 HORAS;19,369934366;-99,178408747
VIERNES;MORAS, FRANCIA Y MINERVA;8:00 A 17:00 HORAS;19,355894306;-99,178140410
VIERNES;LAGO XOCHIMILCO ENTRE FELIPE CARRILLO PUERTO Y LAGUNA DE TAMIAHUA;07:00 A 17:00 HORAS;19,447684789;-99,178052271
DOMINGO;FILADELFIA ENTRE TEXAS Y NUEVA YORK;6:00 A 16:00 HORAS;19,393436863;-99,177970914
SÁBADO;PANTEÓN SANTA URSULA XITLA Y CANTERA;08:00 A 19:00 HORAS;19,280381573;-99,177825427
LUNES;LAGO XOCHIMILCO ENTRE LAGO CATEMACO Y LAGUNA DEL CARMEN;07:00 A 17:00 HORAS;19,449251204;-99,177688428
LUNES;CUERNAVACA, ENTRE CAMPECHE Y ALFONSO REYES “Tianguis Cuernavaca”;07:00 A 17:00 HORAS;19,410249364;-99,177558775
LUNES;LAGO XOCHIMILCO ENTRE CARRILLO PUERTO Y LAGO CATEMACO;07:00 A 17:00 HORAS;19,449872085;-99,177570968
MIÉRCOLES;HUASTECOS / LACANDONES Y CHINANTECOS;08:00 A 19:00 HORAS;19,272155087;-99,177298080
LUNES;MAR SONDA ENTRE MAR MARMARA Y MAR EGEO;07:00 A 17:00 HORAS;19,457432332;-99,176931516
JUEVES;NUEVA YORK ENTRE GEORGIA Y ALABAMA;6:00 A 16:00 HORAS;19,389815057;-99,176519492
VIERNES;TOPANTIAGUA, ENTRE  CENTRAL Y TLALTENCO;8:00 A 19:00 HORAS;19,491836905;-99,176455320
MIÉRCOLES;AV. DEL PARQUE Y CHICAGO;6:00 A 16:00 HORAS;19,396152665;-99,176193940
JUEVES;HOLBEIN Y AVILA CAMACHO;6:00 A 16:00 HORAS;19,383928996;-99,176142125
MARTES;PACHUCA ENTRE VERACRUZ Y JUAN DE LA BARRERA. “Tianguis Pachuca”;07:00 A 17:00 HORAS;19,418075719;-99,176062099
JUEVES;5 DE MAYO / CDA. 5 DE MAYO Y MIRASOL PROL. COL. SAN PEDRO MARTIR;08:00 A 19:00 HORAS;19,266323340;-99,175623488
DOMINGO;5 DE MAYO PROL. / CDA. 5 DE MAYO Y MIRASOL;08:00 A 19:00 HORAS;19,266847874;-99,175337126
SÁBADO;MORELOS ENTRE 5 DE MAYO E HIDALGO;8:00 A 17:00 HORAS;19,355211741;-99,175135926
DOMINGO;MIGUEL HIDALGO / 5 DE FEBRERO Y CARRETERA FEDERA A CUERNAVACA;08:00 A 19:00 HORAS;19,134994525;-99,174899968
SÁBADO;BAHIA DE SANTA BARBARA ENTRE BAHIA DE CHACHALACAS Y BAHIA DE PESCADORES;07:00 A 17:00 HORAS;19,436618051;-99,175208992
MARTES;MORELOS ENT. 5 DE MAYO E HIDALGO;8:00 A 17:00 HORAS;19,355224340;-99,175113386
MIÉRCOLES;BAHIA DE CHACHALACAS ESQUINA BAHIA DE SANTA BARBARA;07:00 A 17:00 HORAS;19,436428339;-99,174856222
MARTES;TRANSMETROPOLITANA / 5 DE MAYO Y CIPRESES;08:00 A 19:00 HORAS;19,246812310;-99,174589629
DOMINGO;5 DE MAYO PROL. / BARRANCA SAN JUAN DE DIOS;08:00 A 19:00 HORAS;19,267053647;-99,174495425
JUEVES;ANDRES OSUNA ENTRE ORDOÑEZ Y CERRADA ALBERTO CORREA;8:00 A 19:00 HORAS;19,330590919;-99,174562603
JUEVES;AV. IMAN ENTRE CHICOSMOSTOC Y AV. AZTECAS;8:00 A 19:00 HORAS;19,305963130;-99,174513042
JUEVES;AV. IMAN ENTRE CHICOSMOSTOC Y AV. AZTECAS;8:00 A 19:00 HORAS;19,305963130;-99,174513042
LUNES;AV. IMAN ENTRE CHICOSMOSTOC Y AV. AZTECAS;8:00 A 19:00 HORAS;19,305963130;-99,174513042
MARTES;JOSE MARTI ENTRE UNION Y JOSE MARTI;07:00 A 17:00 HORAS;19,401227114;-99,174573046
MARTES;COMUNAL ENTRE ADOLFO PRIETO Y ACACIAS;6:00 A 16:00 HORAS;19,363636887;-99,174233624
VIERNES;RÍO DE LA PLATA, ENTRE RÍO LERMA Y CIRCUITO INT. MELCHOR OCAMPO, “Tianguis Río de la Plata”;07:00 A 17:00 HORAS;19,426955546;-99,174261776
DOMINGO;1A. ORIENTE / BENITO JUÁREZ Y 1A. NORTE;08:00 A 19:00 HORAS;19,299653464;-99,174097444
JUEVES;BENITO JUÁREZ / 1A. ORIENTE Y 5A. ORIENTE;08:00 A 19:00 HORAS;19,298493715;-99,174081940
MARTES;BENITO JUÁREZ ESQ. VICENTE GUERRERO (SE NECONTRÓ EN VICENTE GUERRERO E HIDALGO);08:00 A 19:00 HORAS;19,135473032;-99,173404249
MIÉRCOLES;LAGO CUITZEO ENTRE LAGUNA DEL CARMEN Y LAGUNA DE TAMIAHUA;07:00 A 17:00 HORAS;19,447312345;-99,173692447
SÁBADO;AV. CIPRESES Y CAMINO AL CEDRAL;08:00 A 19:00 HORAS;19,245449067;-99,173396313
MIÉRCOLES;(INT. MERCADO OBRERO POPULAR) NORTE 67 Y PONIENTE 54;8:00 A 19:00 HORAS;19,463172545;-99,173507626
MARTES;BENJAMÍN HILL ENTRE OMETUSCO Y ALTATA “Tianguis Benjamín”;07:00 A 17:00 HORAS;19,406290512;-99,173340451
VIERNES;CAMPECHE, ENTRE NUEVO LEÓN Y SALTILLO “Tianguis Campeche”;07:00 A 17:00 HORAS;19,409005970;-99,173209697
SÁBADO;ADOLFO PRIETO ENTRE PARROQUIA Y JOSE MARIA RICO;6:00 A 16:00 HORAS;19,370076188;-99,173140056
VIERNES;BENITO JUÁREZ ESQ. VICENTE GUERRERO;08:00 A 19:00 HORAS;19,135947016;-99,172864828
MIÉRCOLES;EUGENIA Y MAGDALENA;6:00 A 16:00 HORAS;19,388632725;-99,172930338
MARTES;MAGDALENA ENTRE EUGENIA Y TIJUANA;6:00 A 16:00 HORAS;19,388836952;-99,172851033
VIERNES;MAGDALENA ENTRE EUGENIA Y TIJUANA;6:00 A 16:00 HORAS;19,388975712;-99,172810895
JUEVES;16 DE SEPTIEMBRE / REFORMA Y RIVAPALACIO E INT. DEL MERCADO;08:00 A 19:00 HORAS;19,251450171;-99,172638519
JUEVES;MATIAS ROMERO Y PATRICIO SANZ;6:00 A 16:00 HORAS;19,381623914;-99,172595060
MARTES;PORFIRIO DIAZ ENTRE PATRICIO SANZ Y GONZALEZ DE COSIO;6:00 A 16:00 HORAS;19,381679812;-99,172258192
LUNES;SALONICA A UN COSTADO DE LA U.H. CUITLAHUAC;8:00 A 19:00 HORAS;19,471459119;-99,172265375
VIERNES;SALONICA A UN COSTADO DE LA U.H. CUITLAHUAC;8:00 A 19:00 HORAS;19,471459119;-99,172265375
DOMINGO;DIAGONAL 5 DE MAYO ESQ. 5 DE MAYO / HERRERA Y CALLE ROSAL;08:00 A 19:00 HORAS;19,258278181;-99,171795318
VIERNES;ADOLFO PRIETO ENTRE PILARES Y TLACOQUEMECATL;6:00 A 16:00 HORAS;19,378486964;-99,170892775
MIÉRCOLES;LIMANTITLA / JUÁREZ Y CALLEJÓN SAN MARCOS;08:00 A 19:00 HORAS;19,281706661;-99,170785774
LUNES;CALLE 28-A ENTRE AV. 7-A Y J. O. DOMINGUEZ;07:00 A 17:00 HORAS;19,522766075;-99,170265104
VIERNES;ANACAHUITA Y COYAMEL ENTRE NESMEL Y AVENIDA DE LAS TORRES;8:00 A 19:00 HORAS;19,334970989;-99,169832107
VIERNES;AV. DEL IMÁN ENTRE CHICOSMOSTOC Y AV. AZTECAS;8:00 A 19:00 HORAS;19,311684114;-99,169549037
JUEVES;AHUANUSCO ENTRE PASCLE Y HUAMICHIL;8:00 A 19:00 HORAS;19,322189061;-99,169420025
MIÉRCOLES;CUITLAHUAC ESQ. LAS FUENTES;08:00 A 19:00 HORAS;19,296115628;-99,168978090
JUEVES;NUSTEPEC ENTRE TOLTECAS Y TEJAMANIL;8:00 A 19:00 HORAS;19,317617098;-99,168902981
DOMINGO;XILOTZINGO ENTRE GUAMUCHITL Y ANACAHUITA;8:00 A 19:00 HORAS;19,331599048;-99,168787971
DOMINGO;XILOTZINGO ENTRE GUAMUCHITL Y AILE;8:00 A 19:00 HORAS;19,331599048;-99,168787971
MARTES;CALZ. DE LOS  GALLOS ENTRE AV. CAMARONES Y FF.CC. DE CUERNAVACA;07:00 A 17:00 HORAS;19,456731476;-99,168800784
VIERNES;CALZ. DE LOS  GALLOS ENTRE AV. CAMARONES Y FF.CC. DE CUERNAVACA;07:00 A 17:00 HORAS;19,456731476;-99,168800784
LUNES;VICENTE GUERRERO Y LAS FUENTES;08:00 A 19:00 HORAS;19,297842007;-99,168323675
LUNES;XOCHIAPAN Y ACATEMPAN ENTRE AMESQUITE Y COPAL;8:00 A 19:00 HORAS;19,325904118;-99,168064039
LUNES;XOCHIAPAN ENTRE AMATL Y COPAL;8:00 A 19:00 HORAS;19,325904118;-99,168064039
MARTES;11 OTE. / LATERAL PERIFERICO Y 1A. NORTE;08:00 A 19:00 HORAS;19,300830229;-99,167911729
VIERNES;PROLONGACIÓN MOCTEZUMA ENTRE TECULIAPAN Y OMEGA;8:00 A 19:00 HORAS;19,342154096;-99,167813034
MIÉRCOLES;PROLONGACIÓN MOCTEZUMA ENTRE TECULIAPAN Y OMEGA;8:00 A 19:00 HORAS;19,342154096;-99,167813034
MIÉRCOLES;SAN BORJA Y COYOACAN;6:00 A 16:00 HORAS;19,385085744;-99,167753735
MIÉRCOLES;HERMANOS PINZON Y CRISTOBAL COLÓN;08:00 A 19:00 HORAS;19,273726293;-99,167265126
SÁBADO;COYAMEL ENTRE JUMIL Y TLAMATECA;8:00 A 19:00 HORAS;19,334144057;-99,167013997
LUNES;VELÁZQUEZ DE LEÓN, ENTRE ANTONIO CASO  Y FRANCISCO  COVARRUBIAS “Tianguis Velázquez”;07:00 A 17:00 HORAS;19,436223903;-99,166706952
JUEVES;AHUANUSCO ENTRE CICALCO Y TESNENE;8:00 A 19:00 HORAS;19,321022059;-99,166387982
JUEVES;COAPA /  CARRASCO E INDUSTRIA;08:00 A 19:00 HORAS;19,292978111;-99,166236461
LUNES;XOCHIAPAN ENTRE CICALCO Y PASCLE;8:00 A 19:00 HORAS;19,324897057;-99,166124969
SÁBADO;BAJÍO, ENTRE MANZANILLO E IGUALA   “Tianguis Bajío”;07:00 A 17:00 HORAS;19,403202227;-99,166063822
SÁBADO;LLAMAPAN / CARRASCO Y QUECHOLOC;08:00 A 19:00 HORAS;19,298546104;-99,165660517
LUNES;TEZOQUIPA / CALZ. DE TLALPAN Y MATAMOROS;08:00 A 19:00 HORAS;19,282302218;-99,165488284
VIERNES;MEDELLÍN, ENTRE INSURGENTES Y YUCATÁN “Tianguis Medellín”;07:00 A 17:00 HORAS;19,414894675;-99,165415227
VIERNES;VIOLETA / LETERAL CARRETERA A CUERNAVACA Y 5 DE MAYO;08:00 A 19:00 HORAS;19,265286950;-99,165228630
MIÉRCOLES;SULLIVAN ENTRE MANUEL MARÍA CONTRERAS Y GABINO BARREDA “Tianguis Sullivan Miércoles”;07:00 A 17:00 HORAS;19,434609338;-99,165294764
MIÉRCOLES;ORO, ENTRE MONTERREY Y PLAZA DE LA CIBELES “Tianguis Oro”;07:00 A 17:00 HORAS;19,419350167;-99,165173219
SÁBADO;ORO, ENTRE MONTERREY Y PLAZA DE CIBELES “Bazar del Oro”;07:00 A 17:00 HORAS;19,419350167;-99,165173219
LUNES;VIOLETA / LETERAL CARRETERA A CUERNAVACA Y 5 DE MAYO;08:00 A 19:00 HORAS;19,266266496;-99,164847433
JUEVES;PUENTE DE XOCO Y SAN FELIPE;6:00 A 16:00 HORAS;19,362142559;-99,164930136
JUEVES;PILARES Y NICOLAS SAN JUAN;6:00 A 16:00 HORAS;19,377636894;-99,164844210
VIERNES;CIRCUITO PERGOLEROS Y CAMINO VIEJO A SAN PEDRO;08:00 A 19:00 HORAS;19,277004251;-99,164367853
LUNES;CARRASCO / CANACALCO Y CUANACAZTLA;08:00 A 19:00 HORAS;19,299653199;-99,164339725
JUEVES;CALLE 28 ENTRE CALLE 1-A Y CALLE 1-B;07:00 A 17:00 HORAS;19,524635212;-99,164520941
LUNES;PAPALOTLENTRE AZULCO Y AZTAHUACAN;8:00 A 19:00 HORAS;19,327615126;-99,163526009
LUNES;PAPALOTLENTRE AZULCO Y AZTAHUACAN;8:00 A 19:00 HORAS;19,327615126;-99,163526009
SÁBADO;SULLIVAN ENTRE MANUEL M. CONTRERAS Y ROSAS MORENO  “Tianguis Sullivan Sábado”;07:00 A 17:00 HORAS;19,433925569;-99,163613377
LUNES;REY HUEMAN ENTRE AVENIDA AZTECAS Y TOTONACAS;8:00 A 19:00 HORAS;19,318619044;-99,163169981
DOMINGO;PEDRO ENRIQUEZ UREÑA ENTRE PIPIZAHUA Y ANACAHUITA;8:00 A 19:00 HORAS;19,335257066;-99,163152989
MARTES;ÁLZATE, ENTRE CEDRO Y NOGAL “Tianguis Cedro”;07:00 A 17:00 HORAS;19,447968689;-99,163212453
JUEVES;PEDRO ENRIQUEZ UREÑA ENTRE CANAULTLI Y EMEZQUITE;8:00 A 19:00 HORAS;19,335293265;-99,162996129
SÁBADO;5 DE MAYO ENTRE PARROQUIA Y LA FLORES;6:00 A 16:00 HORAS;19,368007084;-99,162977202
DOMINGO;MIXTECAS, TOTONACAS, IXTLIXOCHITL, MECONETZIN ENTRE IXTLIXOCHITL Y REY HUEMAN;8:00 A 19:00 HORAS;19,318081614;-99,162539549
DOMINGO;TOTONACAS ENTRE IXTLIXOCHITL SAN VICTORINO;8:00 A 19:00 HORAS;19,318081614;-99,162539549
DOMINGO;RÍO NEVA ENTRE SULLIVAN Y VILLALONGÍN “Tianguis Marqueros Río Neva”;07:00 A 17:00 HORAS;19,433213489;-99,162547075
LUNES;MATIAS ROMERO ENTRE PESTALOZZI Y HERIBERTO FRIAS;6:00 A 16:00 HORAS;19,379424539;-99,162049782
DOMINGO;JARDÍN DEL ARTE. “Bazar Jardín del Arte”;07:00 A 17:00 HORAS;19,433399606;-99,161895198
DOMINGO;JARDÍN DEL ARTE. “Bazar Jardín del Arte”;07:00 A 17:00 HORAS;19,433399606;-99,161895198
DOMINGO;CORAS Y REY MOCTESUMA ENTRE NAHUATLACAS Y CORAS;8:00 A 19:00 HORAS;19,314966378;-99,161694305
SÁBADO;PEDRO ENRIQUEZ UREÑA ENTRE PAPOLOTL Y CANAHUTLI;8:00 A 19:00 HORAS;19,335226123;-99,161568956
DOMINGO;OBRERO MUNDIAL ENTRE AMORES Y NICOLAS SAN JUAN;6:00 A 16:00 HORAS;19,401188003;-99,161448244
LUNES;PROGRESO NACIONAL ENTRE CALLE 7 Y CALLE 10;07:00 A 17:00 HORAS;19,520538491;-99,161214712
SÁBADO;MISERICORDIA;6:00 A 16:00 HORAS;19,370061150;-99,160968967
MARTES;SERAPIO RENDON ENTRE SULLIVAN Y VILLALONGÍN “Tianguis Serapio”;07:00 A 17:00 HORAS;19,432660419;-99,161016354
